imdbID,imdbActorID,ActorName
tt0142688,nm0000136,Johnny Depp
tt0142688,nm0001449,Frank Langella
tt0142688,nm0000565,Lena Olin
tt0375880,nm1333687,Dhanush
tt0375880,nm1419300,Sonia Agarwal
tt0375880,nm1421915,Sudip
tt0016654,nm0001196,Douglas Fairbanks
tt0016654,nm0235521,Billie Dove
tt0016654,nm0683114,Tempe Pigott
tt0114924,nm0000113,Sandra Bullock
tt0114924,nm0000597,Bill Pullman
tt0114924,nm0001251,Peter Gallagher
tt0018192,nm0226387,Albert Dieudonné
tt0018192,nm0745565,Vladimir Roudenko
tt0018192,nm0885965,Edmond Van Daële
tt0059348,nm0154164,Soumitra Chatterjee
tt0059348,nm0611538,Madhabi Mukherjee
tt0059348,nm0052329,Haradhan Bannerjee
tt0360845,nm0012239,Sarah Adler
tt0360845,nm0226383,Nade Dieu
tt0360845,nm0469656,Rony Kramer
tt0070474,nm0819825,Ove Sprogøe
tt0070474,nm0344655,Morten Grunwald
tt0070474,nm0120381,Poul Bundgaard
tt0280707,nm0001749,Maggie Smith
tt0280707,nm0000202,Ryan Phillippe
tt0280707,nm0002091,Michael Gambon
tt6028620,nm0873396,Ivan Trojan
tt6028620,nm8068078,Josef Trojan
tt6028620,nm3371002,Juraj Loj
tt1024942,nm0077944,Anders W. Berthelsen
tt1024942,nm0376190,Rebecka Hemse
tt1024942,nm0509263,Nikolaj Lie Kaas
tt1772270,nm4622234,Raven Adamson
tt1772270,nm4719588,Katie Coseni
tt1772270,nm4664489,Madeleine Bisson
tt0050665,nm0474801,Dilip Kumar
tt0050665,nm0904537,Vyjayanthimala
tt0050665,nm0907888,Johnny Walker
tt0790799,nm0001691,Geoffrey Rush
tt0790799,nm0001439,Anthony LaPaglia
tt0790799,nm0426170,Samuel Johnson
tt0899138,nm0001543,Gretchen Mol
tt0899138,nm0714310,James Rebhorn
tt0899138,nm1080974,Cameron Bright
tt0243255,nm0714378,Anaïs Reboux
tt0243255,nm0581953,Roxane Mesquida
tt0243255,nm0211144,Libero De Rienzo
tt6292852,nm0370015,Luke Hawker
tt6292852,nm0126284,Rose Byrne
tt6292852,nm10163946,Maddie Lenton
tt0102032,nm0644203,Steve Oedekerk
tt0102032,nm0001855,Thomas F. Wilson
tt0102032,nm0000344,Denise Crosby
tt0073836,nm0117885,Flavio Bucci
tt0073836,nm0617736,Macha Méril
tt0073836,nm0208656,Gianfranco De Grassi
tt0085400,nm0004486,Bruno Ganz
tt0085400,nm0535166,Teresa Madruga
tt0085400,nm0903312,Julia Vonderlinn
tt0184791,nm0001616,Mekhi Phifer
tt0184791,nm0005466,Julia Stiles
tt0184791,nm0000640,Martin Sheen
tt0410097,nm0005024,Terrence Howard
tt0410097,nm0524839,Ludacris
tt0410097,nm0026364,Anthony Anderson
tt0072231,nm0091598,Yuriy Bogatyryov
tt0072231,nm0813463,Anatoliy Solonitsyn
tt0072231,nm0787699,Sergey Shakurov
tt1602620,nm0004462,Jean-Louis Trintignant
tt1602620,nm0728938,Emmanuelle Riva
tt1602620,nm0001376,Isabelle Huppert
tt0067656,nm0000805,Claudine Auger
tt0067656,nm0685559,Luigi Pistilli
tt0067656,nm0131294,Claudio Camaso
tt2535470,nm1052026,Jay Gallagher
tt2535470,nm3658287,Bianca Bradey
tt2535470,nm3278698,Leon Burchill
tt0070468,nm0000125,Sean Connery
tt0070468,nm0002145,Trevor Howard
tt0070468,nm0580357,Vivien Merchant
tt6119856,nm1813221,Gugu Mbatha-Raw
tt6119856,nm0401264,Michiel Huisman
tt6119856,nm0176869,Steve Coogan
tt0099348,nm0000126,Kevin Costner
tt0099348,nm0001521,Mary McDonnell
tt0099348,nm0001295,Graham Greene
tt0101526,nm0356342,Gísli Halldórsson
tt0101526,nm0353206,Sigríður Hagalín
tt0101526,nm0356341,Baldvin Halldórsson
tt6866224,nm0251986,Jesse Eisenberg
tt6866224,nm0002907,Alexander Skarsgård
tt6866224,nm0000161,Salma Hayek
tt1884268,nm0665555,Vinay Pathak
tt1884268,nm1069034,Lara Dutta
tt1884268,nm1318999,Yana Gupta
tt1951266,nm2225369,Jennifer Lawrence
tt1951266,nm1242688,Josh Hutcherson
tt1951266,nm2955013,Liam Hemsworth
tt0425094,nm0000459,Timothy Hutton
tt0425094,nm0000657,David Strathairn
tt0425094,nm0005447,Leelee Sobieski
tt2717558,nm0664469,Piolo Pascual
tt2717558,nm2375377,Gerald Anderson
tt2717558,nm0868381,Joel Torre
tt0058155,nm0000489,Christopher Lee
tt0058155,nm0001088,Peter Cushing
tt0058155,nm0664390,Richard Pasco
tt0106332,nm0002000,Leslie Cheung
tt0106332,nm0955342,Fengyi Zhang
tt0106332,nm0000084,Gong Li
tt2438644,nm0509263,Nikolaj Lie Kaas
tt2438644,nm1272258,Per Scheel Krüger
tt2438644,nm0527937,Troels Lyby
tt0791303,nm0000147,Colin Firth
tt0791303,nm1549503,Perla Haney-Jardine
tt0791303,nm1473267,Willa Holland
tt1876277,nm0525518,Florian Lukas
tt1876277,nm1269088,David Kross
tt1876277,nm2674236,Lachlan Nieboer
tt0253822,nm0839017,Kemal Sunal
tt0253822,nm1748740,Nazan Saatçi
tt0253822,nm0023062,Sevket Altug
tt1270286,nm1357477,Randy Wayne
tt1270286,nm1670304,Deja Kreutzberg
tt1270286,nm2647119,Joshua Weigel
tt1368491,nm2046763,Cristian Mercado
tt1368491,nm0039978,Tatiana Astengo
tt1368491,nm0136572,Manolo Cardona
tt7784604,nm0001057,Toni Collette
tt7784604,nm8412536,Milly Shapiro
tt7784604,nm0000321,Gabriel Byrne
tt0085382,nm0908914,Dee Wallace
tt0085382,nm0446298,Daniel Hugh Kelly
tt0085382,nm0001622,Danny Pintauro
tt0188674,nm0799591,John Simm
tt0188674,nm0683455,Lorraine Pilkington
tt0188674,nm0662744,Shaun Parkes
tt1718924,nm0124930,Gerard Butler
tt1718924,nm0001543,Gretchen Mol
tt1718924,nm1555340,Alison Brie
tt8869978,nm7021807,Mrunal Thakur
tt8869978,nm6598222,Nora Fatehi
tt8869978,nm1303433,John Abraham
tt12573294,nm3557375,Shine Tom Chacko
tt12573294,nm8135195,Rajisha Vijayan
tt12573294,nm8344748,Gokulan
tt1232776,nm3086235,Katie Jarvis
tt1232776,nm1055413,Michael Fassbender
tt1232776,nm1663573,Kierston Wareing
tt1087527,nm1157358,Michelle Monaghan
tt1087527,nm0277213,Nathan Fillion
tt1087527,nm0000973,Benjamin Bratt
tt0200071,nm0220183,Émilie Dequenne
tt0200071,nm0740090,Fabrizio Rongione
tt0200071,nm0947650,Anne Yernaux
tt2656588,nm3825855,Joshua Burge
tt2656588,nm1811127,Joel Potrykus
tt2656588,nm5920263,Teri Ann Nelson
tt1024733,nm0000686,Christopher Walken
tt1024733,nm0005273,Alessandro Nivola
tt1024733,nm0000232,Sharon Stone
tt8688634,nm1569276,Chadwick Boseman
tt8688634,nm1092227,Sienna Miller
tt8688634,nm0799777,J.K. Simmons
tt3836958,nm0000821,Amitabh Bachchan
tt3836958,nm1333687,Dhanush
tt3836958,nm7432227,Akshara Haasan
tt1437358,nm0869088,Luis Tosar
tt1437358,nm1011070,Marta Etura
tt1437358,nm0760664,Alberto San Juan
tt0119802,nm0001459,Denis Leary
tt0119802,nm0001324,Ian Hart
tt0119802,nm0058029,Jason Barry
tt3013610,nm0125540,Margherita Buy
tt3013610,nm0001806,John Turturro
tt3013610,nm0493980,Giulia Lazzarini
tt0113967,nm0179982,Shar-Ron Corley
tt0113967,nm0144133,Gabriel Casseus
tt0113967,nm0825627,Saul Stein
tt0323807,nm0072768,Fabrizio Bentivoglio
tt0323807,nm0603090,Laura Morante
tt0323807,nm1238739,Nicoletta Romanoff
tt0080764,nm0825231,Bernice Stegers
tt0080764,nm0597167,Stanko Molnar
tt0080764,nm0957049,Veronica Zinny
tt0073756,nm0002002,Shin'ichi Chiba
tt0073756,nm0945214,Goichi Yamada
tt0073756,nm0620073,Yutaka Nakajima
tt4975280,nm1492922,Károly Hajduk
tt4975280,nm5393410,Gábor Jászberényi
tt4975280,nm0029771,Zsolt Anger
tt0092796,nm0001421,George Kennedy
tt0092796,nm0001042,Lois Chiles
tt0092796,nm0424155,Domenick John
tt2184331,nm4884029,Dariel Arrechaga
tt2184331,nm4884137,Anailín de la Rúa de la Torre
tt2184331,nm4884095,Javier Núñez Florián
tt11235142,nm8701924,Kushi
tt11235142,nm12364662,Kushee Ravi
tt11235142,nm10536247,Pruthvi Amber
tt0023582,nm0002050,Irene Dunne
tt0023582,nm0007220,Ricardo Cortez
tt0023582,nm0260728,Jill Esmond
tt0417189,nm0693799,Melvil Poupaud
tt0417189,nm0603402,Jeanne Moreau
tt0417189,nm0116254,Valeria Bruni Tedeschi
tt0091630,nm0515128,Jason Lively
tt0091630,nm0040662,Tom Atkins
tt0091630,nm0551185,Steve Marshall
tt0037449,nm0000057,David Niven
tt0037449,nm0391361,Stanley Holloway
tt0037449,nm0232019,James Donald
tt0049405,nm0001072,Joseph Cotten
tt0049405,nm0281766,Rhonda Fleming
tt0049405,nm0179819,Wendell Corey
tt2017038,nm0000602,Robert Redford
tt2017038,nm12643903,Dyapa Gnaneshwar Reddy
tt1034427,nm0899631,Galina Vishnevskaya
tt1034427,nm2667568,Vasily Shevtsov
tt1034427,nm2668450,Raisa Gichaeva
tt4120176,nm0001376,Isabelle Huppert
tt4120176,nm0545838,André Marcon
tt4120176,nm1007411,Roman Kolinka
tt0038343,nm0000472,Boris Karloff
tt0038343,nm0496819,Anna Lee
tt0038343,nm0396633,Billy House
tt0105378,nm0000095,Woody Allen
tt0105378,nm0001201,Mia Farrow
tt0105378,nm0456194,Michael Kirby
tt12564514,nm2983400,Natasa Stork
tt12564514,nm0091117,Viktor Bodó
tt12564514,nm3132995,Benett Vilmányi
tt1797396,nm1727951,André Sjöberg
tt1797396,nm0909412,Martin Wallström
tt1797396,nm0718194,Antti Reini
tt0072204,nm0000901,Jean-Paul Belmondo
tt0072204,nm0000964,Charles Boyer
tt0072204,nm0673749,François Périer
tt0142239,nm0637586,Masako Nozawa
tt0142239,nm0849028,Mayumi Tanaka
tt0142239,nm0476223,Takeshi Kusao
tt0113292,nm0000334,Chow Yun-Fat
tt0113292,nm0948112,Cecilia Yip
tt0113292,nm0157748,Ho Chin
tt0100623,nm0380213,Meredyth Herold
tt0100623,nm0857012,Panos Thanassoulis
tt0100623,nm0885091,Michele Valley
tt0220016,nm0010593,Mina Adamaki
tt0220016,nm0031440,Alexandros Antonopoulos
tt0220016,nm0340128,Kostas Grekas
tt0113971,nm0668640,Cezary Pazura
tt0113971,nm0464945,Marek Kondrat
tt0113971,nm0087787,Ewa Blaszczyk
tt1288376,nm1402546,Sibel Kekilli
tt1288376,nm3137798,Nizam Schiller
tt1288376,nm0015764,Derya Alabora
tt0844708,nm0226813,Garret Dillahunt
tt0844708,nm0005321,Monica Potter
tt0844708,nm0001282,Tony Goldwyn
tt0206117,nm0215803,David Sánchez del Rey
tt0206117,nm0654841,Adriana Ozores
tt0206117,nm0959575,Roberto Álvarez
tt0318025,nm1234999,Wei Wei Zhao
tt0318025,nm1235551,Qiong Wu
tt0318025,nm0955504,Tao Zhao
tt0066565,nm0476828,Anatoliy Kuznetsov
tt0066565,nm0527226,Pavel Luspekayev
tt0066565,nm0592806,Spartak Mishulin
tt11456054,nm8908475,Isabel May
tt11456054,nm0593664,Radha Mitchell
tt11456054,nm0005048,Thomas Jane
tt0907619,nm1121870,Mahesh Babu
tt0907619,nm1328152,Shriya Saran
tt0907619,nm0444819,Kirti Reddy
tt8649186,nm5849568,Bartosz Bielenia
tt8649186,nm1452458,Aleksandra Konieczna
tt8649186,nm6264850,Eliza Rycembel
tt1550524,nm3231354,Nick Thurston
tt1550524,nm0927727,Geoffrey Wigdor
tt1550524,nm0002332,Stephen Lang
tt0087682,nm0000176,Nastassja Kinski
tt0087682,nm0001698,John Savage
tt0087682,nm0001018,Keith Carradine
tt0109855,nm0401945,Renée Humphrey
tt0109855,nm0001860,Alicia Witt
tt0109855,nm0608632,William R. Moses
tt0985058,nm0001252,Vincent Gallo
tt0985058,nm0000496,Juliette Lewis
tt0985058,nm0001424,Udo Kier
tt0360674,nm0776929,Katja Schuurman
tt0360674,nm0092592,Pierre Bokma
tt0360674,nm0531027,Theo Maassen
tt9063106,nm10215770,Adi Afendi
tt9063106,nm3437966,Amerul Affendi
tt9063106,nm10161090,Ammar Alfian
tt0143348,nm0423663,Tomisaburô Wakayama
tt0143348,nm0370666,Yoichi Hayashi
tt0143348,nm4501511,Michi Azuma
tt0070116,nm0023574,Anicée Alvina
tt0070116,nm0313682,Olga Georges-Picot
tt0070116,nm0003909,Michael Lonsdale
tt3102208,nm2725295,Crina Semciuc
tt3102208,nm5855185,Flavia Hojda
tt3102208,nm3864922,Olimpia Melinte
tt0366137,nm0376655,Daniel Hendler
tt0366137,nm0014940,Adriana Aizemberg
tt0366137,nm0195639,Jorge D'Elía
tt0277615,nm0002253,John Carroll Lynch
tt0277615,nm0014961,Segun Ajaga
tt0277615,nm0146903,Megan Cavanagh
tt0112740,nm0000432,Gene Hackman
tt0112740,nm0000243,Denzel Washington
tt0112740,nm0002023,Matt Craven
tt0074400,nm0674742,Jacques Perrin
tt0074400,nm0002094,Vittorio Gassman
tt0074400,nm0312575,Giuliano Gemma
tt0079308,nm0001123,Dom DeLuise
tt0079308,nm0687189,Suzanne Pleshette
tt0079308,nm0715274,Jerry Reed
tt10375106,nm2669103,Grégoire Ludig
tt10375106,nm4698449,David Marsais
tt10375106,nm2650819,Adèle Exarchopoulos
tt0169145,nm0073353,Aleksandar Bercek
tt0169145,nm0104103,Vojislav 'Voja' Brajovic
tt0169145,nm0226699,Bogdan Diklic
tt1294226,nm1415323,Miley Cyrus
tt1294226,nm2955013,Liam Hemsworth
tt1294226,nm0001427,Greg Kinnear
tt0212604,nm0280245,Glenn Fitzgerald
tt0212604,nm0609845,Anson Mount
tt0212604,nm0123313,Bob Burrus
tt1188992,nm0084969,Hannu-Pekka Björkman
tt1188992,nm0461163,Elina Knihtilä
tt1188992,nm0653669,Kati Outinen
tt2667550,nm1699178,Gürkan Uygun
tt2667550,nm2129812,Berrak Tüzünataç
tt2667550,nm2443020,Umut Kurt
tt0038238,nm0714878,Michael Redgrave
tt0038238,nm0590055,John Mills
tt0038238,nm0424228,Rosamund John
tt0396962,nm1550913,Arun Nalawade
tt0396962,nm1727096,Ashwin Chitale
tt0396962,nm1276263,Sandeep Kulkarni
tt6200656,nm0226770,Dileep
tt6200656,nm1413459,Siddharth
tt6200656,nm1729382,Murali Gopy
tt0096251,nm0846630,Tomorô Taguchi
tt0096251,nm0297872,Kei Fujiwara
tt0096251,nm0437099,Nobu Kanaoka
tt0041994,nm0001333,Susan Hayward
tt0041994,nm0696481,Robert Preston
tt0041994,nm0000784,Pedro Armendáriz
tt1531663,nm0002071,Will Ferrell
tt1531663,nm0356017,Rebecca Hall
tt1531663,nm3246926,Christopher Jordan Wallace
tt0180679,nm0001099,Jeff Daniels
tt0180679,nm0696193,Harve Presnell
tt0180679,nm0017020,Joey Albright
