imdbID,imdbDirectorID,DirectorName
tt0142688,nm0000591,Roman Polanski
tt0375880,nm1421754,K. Selvaraghavan
tt0016654,nm0662032,Albert Parker
tt0114924,nm0005509,Jon Turteltaub
tt0018192,nm0304098,Abel Gance
tt0059348,nm0006249,Satyajit Ray
tt0360845,nm0000419,Jean-Luc Godard
tt0070474,nm0050853,Erik Balling
tt0280707,nm0000265,Robert Altman
tt6028620,nm0002140,Agnieszka Holland
tt1024942,nm0097079,Ole Bornedal
tt1772270,nm0134559,Laurent Cantet
tt0050665,nm0746950,Bimal Roy
tt0790799,nm1038127,Tatia Rosenthal
tt0899138,nm1802274,William Olsson
tt0243255,nm0106924,Catherine Breillat
tt6292852,nm3078140,Grant Sputore
tt0102032,nm0638630,Roger Nygard
tt0073836,nm0480575,Aldo Lado
tt0085400,nm0849609,Alain Tanner
tt0184791,nm0625789,Tim Blake Nelson
tt0410097,nm0108132,Craig Brewer
tt0072231,nm0586482,Nikita Mikhalkov
tt1602620,nm0359734,Michael Haneke
tt0067656,nm0000878,Mario Bava
tt2535470,nm3737504,Kiah Roache-Turner
tt0070468,nm0001486,Sidney Lumet
tt6119856,nm0174483,Stephanie Laing
tt0099348,nm0000126,Kevin Costner
tt0101526,nm0296144,Friðrik Þór Friðriksson
tt6866224,nm1243740,Kim Nguyen
tt1884268,nm3125271,Shashant Shah
tt1951266,nm1349376,Francis Lawrence
tt0425094,nm0338372,Terry Green
tt2717558,nm0560277,Erik Matti
tt0058155,nm0279807,Terence Fisher
tt0106332,nm0155280,Kaige Chen
tt2438644,nm1031708,Mikkel Nørgaard
tt0791303,nm0935863,Michael Winterbottom
tt1876277,nm0639033,Petter Næss
tt0253822,nm0047971,Natuk Baytan
tt1270286,nm0061982,Brian Baugh
tt1368491,nm1659906,Javier Fuentes-León
tt7784604,nm4170048,Ari Aster
tt0085382,nm0853546,Lewis Teague
tt0188674,nm0449863,Justin Kerrigan
tt1718924,nm0931251,Mark Williams
tt8869978,nm0012541,Nikkhil Advani
tt12573294,nm7881475,Khalid Rahman
tt1232776,nm0036349,Andrea Arnold
tt1087527,nm0609522,James Mottern
tt0200071,nm0201094,Jean-Pierre Dardenne
tt0200071,nm0201095,Luc Dardenne
tt2656588,nm1811127,Joel Potrykus
tt1024733,nm0170719,Nigel Cole
tt8688634,nm1047532,Brian Kirk
tt3836958,nm2669564,R. Balki
tt1437358,nm0049371,Jaume Balagueró
tt0119802,nm0001130,Ted Demme
tt3013610,nm0604335,Nanni Moretti
tt0113967,nm0327064,Nick Gomez
tt0323807,nm0610831,Gabriele Muccino
tt0080764,nm0000877,Lamberto Bava
tt0073756,nm0654725,Shigehiro Ozawa
tt4975280,nm0814694,Árpád Sopsits
tt0092796,nm0331193,Michael Gornick
tt2184331,nm2280980,Lucy Mulloy
tt11235142,nm11108345,K.S. Ashoka
tt0023582,nm0002179,George Archainbaud
tt0417189,nm0654830,François Ozon
tt0091630,nm0215269,Fred Dekker
tt0037449,nm0715346,Carol Reed
tt0049405,nm0091430,Budd Boetticher
tt2017038,nm1170855,J.C. Chandor
tt1034427,nm0812546,Aleksandr Sokurov
tt4120176,nm0361135,Mia Hansen-Løve
tt0038343,nm0733476,Mark Robson
tt0105378,nm0000095,Woody Allen
tt12564514,nm2520336,Lili Horvát
tt1797396,nm0391557,Richard Holm
tt0072204,nm0720297,Alain Resnais
tt0142239,nm0945674,Shigeyasu Yamauchi
tt0113292,nm0906413,Ka-Fai Wai
tt0100623,nm0631799,Nikos Nikolaidis
tt0220016,nm0660347,Thanasis Papathanasiou
tt0220016,nm0720109,Michalis Reppas
tt0113971,nm0467666,Marek Koterski
