,imdbID,imdbActorID,ActorName,tmdbActorID,tmdbActorName,Gender
0,tt0142688,nm0000136,Johnny Depp,85,Johnny Depp,2
1,tt0142688,nm0001449,Frank Langella,8924,Frank Langella,2
2,tt0142688,nm0000565,Lena Olin,5313,Lena Olin,1
3,tt0375880,nm1333687,Dhanush,550165,Dhanush,2
4,tt0375880,nm1419300,Sonia Agarwal,91632,Sonia Agarwal,1
6,tt0016654,nm0001196,Douglas Fairbanks,109088,Douglas Fairbanks,2
7,tt0016654,nm0235521,Billie Dove,34744,Billie Dove,1
8,tt0016654,nm0683114,Tempe Pigott,29603,Tempe Pigott,1
9,tt0114924,nm0000113,Sandra Bullock,18277,Sandra Bullock,1
10,tt0114924,nm0000597,Bill Pullman,8984,Bill Pullman,2
11,tt0114924,nm0001251,Peter Gallagher,8212,Peter Gallagher,2
12,tt0018192,nm0226387,Albert Dieudonné,143356,Albert Dieudonné,2
14,tt0018192,nm0885965,Edmond Van Daële,150860,Edmond van Daële,2
15,tt0059348,nm0154164,Soumitra Chatterjee,13752,Soumitra Chatterjee,2
16,tt0059348,nm0611538,Madhabi Mukherjee,550859,Madhabi Mukherjee,1
17,tt0059348,nm0052329,Haradhan Bannerjee,1108036,Haradhan Bandopadhyay,2
18,tt0360845,nm0012239,Sarah Adler,55047,Sarah Adler,1
19,tt0360845,nm0226383,Nade Dieu,73504,Nade Dieu,1
20,tt0360845,nm0469656,Rony Kramer,95167,Rony Kramer,0
21,tt0070474,nm0819825,Ove Sprogøe,47151,Ove Sprogøe,2
22,tt0070474,nm0344655,Morten Grunwald,69180,Morten Grunwald,2
23,tt0070474,nm0120381,Poul Bundgaard,69181,Poul Bundgaard,2
24,tt0280707,nm0001749,Maggie Smith,10978,Maggie Smith,1
25,tt0280707,nm0000202,Ryan Phillippe,11864,Ryan Phillippe,2
26,tt0280707,nm0002091,Michael Gambon,5658,Michael Gambon,2
27,tt6028620,nm0873396,Ivan Trojan,96381,Ivan Trojan,2
28,tt6028620,nm8068078,Josef Trojan,2416787,Josef Trojan,2
29,tt6028620,nm3371002,Juraj Loj,1261323,Juraj Loj,2
30,tt1024942,nm0077944,Anders W. Berthelsen,1184,Anders W. Berthelsen,2
31,tt1024942,nm0376190,Rebecka Hemse,76390,Rebecka Hemse,1
32,tt1024942,nm0509263,Nikolaj Lie Kaas,1018,Nikolaj Lie Kaas,2
33,tt1772270,nm4622234,Raven Adamson,1177621,Raven Adamson,0
34,tt1772270,nm4719588,Katie Coseni,1177623,Katie Coseni,0
35,tt1772270,nm4664489,Madeleine Bisson,1177624,Madeleine Bisson,0
36,tt0050665,nm0474801,Dilip Kumar,229249,Dilip Kumar,2
37,tt0050665,nm0904537,Vyjayanthimala,562297,Vyjayanthimala,1
38,tt0050665,nm0907888,Johnny Walker,629439,Johnny Walker,2
39,tt0790799,nm0001691,Geoffrey Rush,118,Geoffrey Rush,2
40,tt0790799,nm0001439,Anthony LaPaglia,57829,Anthony LaPaglia,2
41,tt0790799,nm0426170,Samuel Johnson,77138,Samuel Johnson,2
42,tt0899138,nm0001543,Gretchen Mol,15370,Gretchen Mol,1
43,tt0899138,nm0714310,James Rebhorn,8986,James Rebhorn,2
44,tt0899138,nm1080974,Cameron Bright,52414,Cameron Bright,2
45,tt0243255,nm0714378,Anaïs Reboux,7705,Anaïs Reboux,0
46,tt0243255,nm0581953,Roxane Mesquida,7706,Roxane Mesquida,1
47,tt0243255,nm0211144,Libero De Rienzo,7707,Libero De Rienzo,2
