imdbID,imdbDirectorID,DirectorName,tmdbDirectorID,Gender
tt0142688,nm0000591,Roman Polanski,3556,2
tt0375880,nm1421754,K. Selvaraghavan,91628,2
tt0114924,nm0005509,Jon Turteltaub,12962,2
tt0059348,nm0006249,Satyajit Ray,12160,2
tt0360845,nm0000419,Jean-Luc Godard,3776,2
tt0280707,nm0000265,Robert Altman,9789,2
tt6028620,nm0002140,Agnieszka Holland,1128,1
tt1024942,nm0097079,Ole Bornedal,22676,2
tt0050665,nm0746950,Bimal Roy,606175,2
tt0790799,nm1038127,Tatia Rosenthal,84448,1
tt0899138,nm1802274,William Olsson,85859,2
tt0243255,nm0106924,Catherine Breillat,6295,1
tt6292852,nm3078140,Grant Sputore,1980616,2
tt0102032,nm0638630,Roger Nygard,63983,2
tt0073836,nm0480575,Aldo Lado,41092,2
tt0085400,nm0849609,Alain Tanner,236362,2
tt0184791,nm0625789,Tim Blake Nelson,1462,2
tt0410097,nm0108132,Craig Brewer,53267,2
tt1602620,nm0359734,Michael Haneke,6011,2
tt0067656,nm0000878,Mario Bava,25826,2
tt2535470,nm3737504,Kiah Roache-Turner,1361546,2
tt0070468,nm0001486,Sidney Lumet,39996,2
tt6119856,nm0174483,Stephanie Laing,1232390,1
tt0099348,nm0000126,Kevin Costner,1269,2
tt0101526,nm0296144,Friðrik Þór Friðriksson,6759,2
tt6866224,nm1243740,Kim Nguyen,646785,2
tt2717558,nm0560277,Erik Matti,1041223,2
tt0058155,nm0279807,Terence Fisher,29662,2
tt0106332,nm0155280,Kaige Chen,20640,2
tt0791303,nm0935863,Michael Winterbottom,172,2
tt1876277,nm0639033,Petter Næss,49555,2
tt1270286,nm0061982,Brian Baugh,125637,2
tt1368491,nm1659906,Javier Fuentes-León,146704,2
tt7784604,nm4170048,Ari Aster,1145520,2
tt0085382,nm0853546,Lewis Teague,21819,2
tt1718924,nm0931251,Mark Williams,206574,2
tt8869978,nm0012541,Nikkhil Advani,35735,2
tt1232776,nm0036349,Andrea Arnold,71082,1
tt0200071,nm0201094,Jean-Pierre Dardenne,56209,2
tt0200071,nm0201095,Luc Dardenne,45138,2
tt2656588,nm1811127,Joel Potrykus,1099847,2
tt8688634,nm1047532,Brian Kirk,93223,2
tt1437358,nm0049371,Jaume Balagueró,54525,2
tt0113967,nm0327064,Nick Gomez,17278,2
tt0323807,nm0610831,Gabriele Muccino,20646,2
tt0080764,nm0000877,Lamberto Bava,44955,2
tt0073756,nm0654725,Shigehiro Ozawa,141130,2
tt4975280,nm0814694,Árpád Sopsits,1092696,2
tt0092796,nm0331193,Michael Gornick,15056,2
tt0023582,nm0002179,George Archainbaud,101885,2
tt0417189,nm0654830,François Ozon,4387,2
tt0091630,nm0215269,Fred Dekker,44056,2
tt0037449,nm0715346,Carol Reed,15378,2
tt0049405,nm0091430,Budd Boetticher,18574,2
tt2017038,nm1170855,J.C. Chandor,556172,2
tt4120176,nm0361135,Mia Hansen-Løve,222686,1
tt0038343,nm0733476,Mark Robson,19457,2
tt0105378,nm0000095,Woody Allen,1243,2
tt12564514,nm2520336,Lili Horvát,1316323,1
tt0072204,nm0720297,Alain Resnais,11983,2
tt0142239,nm0945674,Shigeyasu Yamauchi,81853,2
tt0100623,nm0631799,Nikos Nikolaidis,17582,2
tt0220016,nm0660347,Thanasis Papathanasiou,935643,2
tt0220016,nm0720109,Michalis Reppas,935644,2
tt1288376,nm0770883,Feo Aladag,40213,1
tt0844708,nm1531934,Dennis Iliadis,94108,2
tt0206117,nm0016234,Miguel Albaladejo,212677,2
tt0318025,nm0422605,"Jia, Zhangke",24011,2
tt11456054,nm0710272,Kyle Rankin,88832,2
tt8649186,nm1717924,Jan Komasa,566109,2
tt0109855,nm0956205,Rafal Zielinski,130424,2
tt0985058,nm0757975,Tarik Saleh,119293,2
tt0143348,nm0756828,Buichi Saitô,1591592,2
tt0070116,nm0730237,Alain Robbe-Grillet,34590,2
tt3102208,nm4463312,Cristina Jacob,1412730,1
tt0112740,nm0001716,Tony Scott,893,2
tt0074400,nm0958801,Valerio Zurlini,229418,2
tt0169145,nm0664607,Goran Paskaljevic,1009298,2
