,imdbID,tmdbID,ProductionCompany
0,tt0040876,41609,Loew's
1,tt0040876,41609,Metro-Goldwyn-Mayer
2,tt0142688,622,R.P. Productions
3,tt0142688,622,Orly Films
4,tt0142688,622,Bac Films
5,tt0142688,622,Kino Visión
6,tt0142688,622,Origen Producciones Cinematograficas
7,tt0142688,622,Vía Digital
8,tt0142688,622,Canal+
9,tt0142688,622,TF1 Films Production
10,tt0375880,69533,R. K. Productions
11,tt0016654,50075,United Artists
12,tt0016654,50075,Elton Corporation
13,tt0114924,2064,Caravan Pictures
14,tt0114924,2064,Hollywood Pictures
15,tt0018192,42536,Société Westi
16,tt0018192,42536,Ciné France
17,tt0018192,42536,Films Abel Gance
18,tt0018192,42536,Isepa-Wengeroff Film
19,tt0018192,42536,Pathé Consortium Cinéma
20,tt0018192,42536,Société générale des films
21,tt0059348,138030,R.D. Banshal & Co.
22,tt0102900,2071,Palace Pictures
23,tt0102900,2071,Metro-Goldwyn-Mayer
24,tt0360845,26347,Avventura Films
25,tt0360845,26347,P%C3%A9riph%C3%A9ria
26,tt0360845,26347,TSR
27,tt0037466,69847,20th Century Fox
28,tt0070474,15499,Nordisk Film
29,tt0119783,46027,Paramount
30,tt0119783,46027,Spelling Films
31,tt0280707,5279,Sandcastle 5
32,tt0280707,5279,Chicagofilms
33,tt0280707,5279,Medusa Film
34,tt0025330,81396,Warner Bros. Pictures
35,tt6028620,501738,Marlene Film Production
36,tt6028620,501738,Film and Music Entertainment (F&ME)
37,tt6028620,501738,Madants
38,tt6028620,501738,Furia Film
39,tt6028620,501738,Barrandov Studio
40,tt6028620,501738,Česká televize
41,tt6028620,501738,Studio Metrage
42,tt1024942,14898,Thura Film
43,tt1772270,101998,Cofinova 5
44,tt1772270,101998,The Film Farm
45,tt1772270,101998,Memento Films International
46,tt1772270,101998,France 2 Cinéma
47,tt1772270,101998,Lorette Distribution
48,tt1772270,101998,Ciné+
49,tt1772270,101998,Alliance Films
50,tt1772270,101998,France Télévisions Distribution
51,tt1772270,101998,Golem Distribución
52,tt1772270,101998,Artificial Eye
53,tt1772270,101998,Filmcoopi Zürich
54,tt1772270,101998,Northern Ontario Heritage Fund Corporation
55,tt1772270,101998,Téléfilm Canada
56,tt1772270,101998,Ontario Media Development Corporation (OMDC)
57,tt1772270,101998,The Canadian Film or Video Production Tax Credit (CPTC)
58,tt1772270,101998,CNC
59,tt1772270,101998,Canal+
60,tt1772270,101998,France Télévisions
61,tt1772270,101998,Haut et Court
62,tt0050665,168069,Bimal Roy Productions
63,tt0790799,19311,Lama Films
64,tt0790799,19311,Australian Film Finance Corporation
65,tt0790799,19311,Fortissimo Films
66,tt0790799,19311,Israel Film Fund
67,tt0790799,19311,New South Wales Film & Television Office
68,tt0790799,19311,yes
69,tt0790799,19311,Crossfield
70,tt0790799,19311,Sherman Pictures
71,tt0899138,20263,Astrakan Films
72,tt0243255,570,Urania Pictures S.r.l.
73,tt0243255,570,CB Films
74,tt0243255,570,Immagine e Cinema
75,tt0243255,570,CNC
76,tt0243255,570,Canal+
77,tt0243255,570,ARTE France Cinéma
78,tt0243255,570,Flach Film
79,tt6292852,505948,Mother Film Holdings
80,tt6292852,505948,Rhea Films
81,tt6292852,505948,Southern Light Films
82,tt6292852,505948,The Penguin Empire
83,tt6292852,505948,ADL Film Fest Fund
84,tt0102032,22792,Rocket Pictures
85,tt0102032,22792,Film Brigade
86,tt0073836,39988,European Incorporation
87,tt0073836,39988,Rewind Film
88,tt0131325,11353,Universal Pictures
89,tt0085400,33802,Filmograph S.A.
90,tt0085400,33802,Metro Filmes
91,tt0085400,33802,TSR
92,tt0184791,11065,Dimension Films
93,tt0184791,11065,FilmEngine
94,tt0184791,11065,Chickie The Cop Production
95,tt0184791,11065,Daniel Fried Productions
96,tt0184791,11065,Rhulen Entertainment
97,tt0410097,10476,MTV Films
98,tt0072231,38361,Mosfilm
99,tt1602620,86837,wega film vienna
100,tt1602620,86837,Les Films du Losange
101,tt1602620,86837,X Filme Creative Pool
102,tt0117039,1770,Geffen Pictures
103,tt0117039,1770,Warner Bros. Pictures
104,tt0067656,5486,Nuova Linea Cinematografica
105,tt2535470,290999,Guerilla Films
106,tt2535470,290999,IFC Midnight
107,tt0070468,32615,Tantallon
108,tt6119856,450489,Rocliffe Ltd.
109,tt6119856,450489,Opposite Field Pictures
110,tt6119856,450489,PYPO
111,tt0099348,581,Tig Productions
112,tt0099348,581,Majestic Films International
113,tt0099348,581,Allied Filmmakers
114,tt0101526,26880,Max Film
115,tt0101526,26880,Íslenska kvikmyndasamsteypan
116,tt0101526,26880,Metro Film
117,tt6866224,489243,Item 7
118,tt6866224,489243,Belga Productions
119,tt6866224,489243,HanWay Films
120,tt6866224,489243,Automatik Entertainment
121,tt1951266,131634,Lionsgate
122,tt1951266,131634,Color Force
123,tt1951266,131634,Studio Babelsberg
124,tt0025948,43604,Metro-Goldwyn-Mayer
125,tt2717558,190754,Star Cinema – ABS-CBN Film Productions
126,tt2717558,190754,XYZ Films
127,tt2717558,190754,Reality Entertainment
128,tt0058155,28667,Hammer Film Productions
129,tt0106332,10997,Maverick Picture Company
130,tt0106332,10997,Beijing Film Studio
131,tt0106332,10997,China Film Co-Production Corporation
132,tt5723272,423646,Bombero International
133,tt5723272,423646,Macassar Productions
134,tt5723272,423646,Corazón International
135,tt5723272,423646,Pathé
136,tt5723272,423646,Warner Bros. Pictures
137,tt5723272,423646,ARD
138,tt2438644,196024,Zentropa Entertainments
139,tt2438644,196024,Film i Väst
140,tt2438644,196024,TV 2
141,tt2438644,196024,ZDF
142,tt2438644,196024,TV 2
143,tt2357291,172385,Blue Sky Studios
144,tt2357291,172385,20th Century Fox Animation
145,tt2357291,172385,20th Century Fox
146,tt0475290,270487,Universal Pictures
147,tt0475290,270487,Mike Zoss Productions
148,tt0475290,270487,Working Title Films
149,tt0791303,12408,Revolution Films
150,tt1876277,78215,Zentropa International Sweden
151,tt1876277,78215,Trollhättan Film
152,tt1876277,78215,Eurimages
153,tt1876277,78215,FilmFondet Fuzz
154,tt1876277,78215,Zentropa International Norway
155,tt1876277,78215,Film i Väst
156,tt1876277,78215,FFA
157,tt1876277,78215,Medienboard Berlin-Brandenburg
158,tt0066181,38222,Paramount
159,tt1270286,41144,New Song Pictures
160,tt1270286,41144,Outreach Films
161,tt1270286,41144,Accelerated Entertainment
162,tt0050539,31682,Universal International Pictures
163,tt1368491,52799,Dynamo
164,tt1368491,52799,El Calvo Films
165,tt7784604,493922,PalmStar Media
166,tt0041571,39949,Columbia Pictures
167,tt0085382,10489,Sunn Classic Pictures
168,tt0085382,10489,TAFT Entertainment Pictures
169,tt0188674,11129,Irish Screen
