tmdb_id,imdb_id,title,production_companies
622,tt0142688,The Ninth Gate,"R.P. Productions, Orly Films, Bac Films, Kino Visión, Origen Producciones Cinematograficas, Vía Digital, Canal+, TF1 Films Production"
69533,tt0375880,Kadhal Konden,R. K. Productions
50075,tt0016654,The Black Pirate,"United Artists, Elton Corporation"
2064,tt0114924,While You Were Sleeping,"Caravan Pictures, Hollywood Pictures"
42536,tt0018192,Napoleon,"Société Westi, Ciné France, Films Abel Gance, Isepa-Wengeroff Film, Pathé Consortium Cinéma, Société générale des films"
138030,tt0059348,The Coward,R.D. Banshal & Co.
26347,tt0360845,Our Music,"Avventura Films, P%C3%A9riph%C3%A9ria, TSR"
15499,tt0070474,The Olsen Gang Runs Amok,Nordisk Film
5279,tt0280707,Gosford Park,"Sandcastle 5, Chicagofilms, Medusa Film"
501738,tt6028620,Charlatan,"Marlene Film Production, Film and Music Entertainment (F&ME), Madants, Furia Film, Barrandov Studio, Česká televize, Studio Metrage"
14898,tt1024942,Just Another Love Story,Thura Film
101998,tt1772270,Foxfire,"Cofinova 5, The Film Farm, Memento Films International, France 2 Cinéma, Lorette Distribution, Ciné+, Alliance Films, France Télévisions Distribution, Golem Distribución, Artificial Eye, Filmcoopi Zürich, Northern Ontario Heritage Fund Corporation, Téléfilm Canada, Ontario Media Development Corporation (OMDC), The Canadian Film or Video Production Tax Credit (CPTC), CNC, Canal+, France Télévisions, Haut et Court"
168069,tt0050665,Madhumati,Bimal Roy Productions
19311,tt0790799,$9.99,"Lama Films, Australian Film Finance Corporation, Fortissimo Films, Israel Film Fund, New South Wales Film & Television Office, yes, Crossfield, Sherman Pictures"
20263,tt0899138,An American Affair,Astrakan Films
570,tt0243255,Fat Girl,"Urania Pictures S.r.l., CB Films, Immagine e Cinema, CNC, Canal+, ARTE France Cinéma, Flach Film"
505948,tt6292852,I Am Mother,"Mother Film Holdings, Rhea Films, Southern Light Films, The Penguin Empire, ADL Film Fest Fund"
22792,tt0102032,High Strung,"Rocket Pictures, Film Brigade"
39988,tt0073836,Late Night Trains,"European Incorporation, Rewind Film"
33802,tt0085400,In the White City,"Filmograph S.A., Metro Filmes, TSR"
11065,tt0184791,O,"Dimension Films, FilmEngine, Chickie The Cop Production, Daniel Fried Productions, Rhulen Entertainment"
10476,tt0410097,Hustle & Flow,MTV Films
38361,tt0072231,"At Home Among Strangers, a Stranger Among His Own",Mosfilm
86837,tt1602620,Amour,"wega film vienna, Les Films du Losange, X Filme Creative Pool"
5486,tt0067656,A Bay of Blood,Nuova Linea Cinematografica
290999,tt2535470,Wyrmwood: Road of the Dead,"Guerilla Films, IFC Midnight"
32615,tt0070468,The Offence,Tantallon
450489,tt6119856,Irreplaceable You,"Rocliffe Ltd., Opposite Field Pictures, PYPO"
581,tt0099348,Dances with Wolves,"Tig Productions, Majestic Films International, Allied Filmmakers"
26880,tt0101526,Children of Nature,"Max Film, Íslenska kvikmyndasamsteypan, Metro Film"
489243,tt6866224,The Hummingbird Project,"Item 7, Belga Productions, HanWay Films, Automatik Entertainment"
63468,tt1884268,Chalo Dilli,
131634,tt1951266,The Hunger Games: Mockingjay - Part 2,"Lionsgate, Color Force, Studio Babelsberg"
34898,tt0425094,Heavens Fall,
190754,tt2717558,On the Job,"Star Cinema – ABS-CBN Film Productions, XYZ Films, Reality Entertainment"
28667,tt0058155,The Gorgon,Hammer Film Productions
10997,tt0106332,Farewell My Concubine,"Maverick Picture Company, Beijing Film Studio, China Film Co-Production Corporation"
196024,tt2438644,The Keeper of Lost Causes,"Zentropa Entertainments, Film i Väst, TV 2, ZDF, TV 2"
12408,tt0791303,Genova,Revolution Films
78215,tt1876277,Into the White,"Zentropa International Sweden, Trollhättan Film, Eurimages, FilmFondet Fuzz, Zentropa International Norway, Film i Väst, FFA, Medienboard Berlin-Brandenburg"
123611,tt0253822,Tokatçı,
41144,tt1270286,To Save a Life,"New Song Pictures, Outreach Films, Accelerated Entertainment"
52799,tt1368491,Undertow,"Dynamo, El Calvo Films"
493922,tt7784604,Hereditary,PalmStar Media
10489,tt0085382,Cujo,"Sunn Classic Pictures, TAFT Entertainment Pictures"
11129,tt0188674,Human Traffic,"Irish Screen, Fruit Salad Films"
375183,tt1718924,A Family Man,"Ascot Elite Home Entertainment, Zero Gravity Management, G-BASE"
550485,tt8869978,Batla House,"Emmay Entertainment, JA Entertainment"
754612,tt12573294,Love,Ashiq Usman Production
24469,tt1232776,Fish Tank,"BBC Films, UK Film Council, ContentFilm, Kasander Film Company"
29406,tt1087527,Trucker,"Hart-Lunsford Pictures, Hanson Allen Films"
11489,tt0200071,Rosetta,"ARP Sélection, CNC, Canal+"
253303,tt2656588,Buzzard,"Oscilloscope, Sob Noisse Movies"
4204,tt1024733,$5 a Day,"Capitol Films, Carol Baum Productions, Goldenring Productions, Image Entertainment"
535292,tt8688634,21 Bridges,"AGBO, MWM Studios, Huayi Brothers Pictures"
323426,tt3836958,Shamitabh,"Wunderbar Films, Amitabh Bachchan Corporation Limited, Balaji Motion Pictures, Hope Productions"
77495,tt1437358,Sleep Tight,"Castelao Productions, Cubica, Filmax Entertainment, Coser y Cantar, Canal+ España"
21132,tt0119802,Monument Ave.,"Tribeca Productions, Apostle, Clinica Estetico, Filmline International, The Kushner-Locke Company, Phoenician Films, Spanky Pictures"
315872,tt3013610,Mia madre,"Fandango, Le Pacte, Sacher Film, 01 Distribution, ARTE"
39310,tt0113967,New Jersey Drive,40 Acres and a Mule Filmworks
38970,tt0323807,"Remember Me, My Love","Fandango, Medusa Film, Tele+, Vice Versa Film"
67737,tt0080764,Macabre,"A.M.A. Film, Medusa Distribuzione"
40810,tt0073756,The Street Fighter,Toei Company
426958,tt4975280,Strangled,Focus-Fox Studio
16288,tt0092796,Creepshow 2,"New World Pictures, Laurel Entertainment"
140447,tt2184331,Una Noche,Una Noche Films
672128,tt11235142,Dia,Sri Swarnalatha Productions
91181,tt0023582,Thirteen Women,RKO Radio Pictures
2566,tt0417189,Time to Leave,"Canal+, Fidélité Productions"
15762,tt0091630,Night of the Creeps,"TriStar Pictures, Delphi V Productions"
28916,tt0037449,The Way Ahead,Two Cities Films
27999,tt0049405,The Killer Is Loose,"Crown Productions, United Artists"
152747,tt2017038,All Is Lost,"Before the Door Pictures, Washington Square Films, Black Bear Pictures, Treehouse Pictures, Sudden Storm Productions, FilmNation Entertainment"
17479,tt1034427,Alexandra,"Proline Film, Rezo Productions, Federal Agency for Culture and Cinematography of the Russian Federation, CNC"
374465,tt4120176,Things to Come,"PROCIREP, ARTE France Cinéma, Rhône-Alpes Cinéma, Detailfilm, CG Cinéma, Cofinova 12, Cinémage 10, Soficinéma 11 Développement, CNC, Canal+, FFA, Hessen-Invest Film, Les Films du Losange"
24111,tt0038343,Bedlam,RKO Radio Pictures
19200,tt0105378,Shadows and Fog,Orion Pictures
727002,tt12564514,Preparations to Be Together for an Unknown Period of Time,Poste Restante
56481,tt1797396,Beyond the Border,"Cinematic Vision, Searock Films"
61296,tt0072204,Stavisky...,"Simar Films, Cerito Films, Les Films Ariane"
44251,tt0142239,Dragon Ball Z: Broly – Second Coming,"Toei Company, Bird Studios, Toei Animation"
50840,tt0113292,Peace Hotel,"Cassia Hill Production Ltd., Golden Princess Film Production Ltd."
1560,tt0100623,Singapore Sling,"Cinekip, Greek Film Centre"
17914,tt0220016,Safe Sex,"MEGA TV, Papandreou A.E."
24768,tt0113971,Nothing Funny,"TVP, Agencja Produkcji Filmowej, Studio Filmowe Zebra"
44246,tt1288376,When We Leave,WDR
18405,tt0844708,The Last House on the Left,"Rogue Pictures, Film Afrika Worldwide, Sean S. Cunningham Films"
